scenarios,locs,techs,carriers,units,flow_out_sum
130,PRT_2,heat_storage_small,heat,unit,373160724.8895139
130,PRT_1,hydro_reservoir,electricity,kilowatt hour,2146222658.2256072
130,PRT_2,hydro_reservoir,electricity,kilowatt hour,390067519.243734
130,PRT_1,hydro_run_of_river,electricity,kilowatt hour,2382178442.998896
130,PRT_2,hydro_run_of_river,electricity,kilowatt hour,309141874.8603195
130,PRT_1,methane_boiler,heat,megajoule,866282.66178192
130,PRT_2,methane_boiler,heat,megajoule,324894.8947081909
130,PRT_1,methane_storage,methane,unit,2923.0431168249233
130,PRT_2,methane_storage,methane,unit,2886.4152798955292
130,PRT_1,open_field_pv,electricity,kilowatt hour,86096993288.26875
130,PRT_1,pumped_hydro,electricity,kilowatt hour,6093220003.272969
130,PRT_2,pumped_hydro,electricity,kilowatt hour,877029328.5002574
130,PRT_1,roof_mounted_pv,electricity,kilowatt hour,130612619.64838691
130,PRT_1,waste_supply,waste,kilowatt hour,1028239903.8377887
130,PRT_2,waste_supply,waste,kilowatt hour,1006325625.4656603
130,PRT_1,wind_offshore,electricity,kilowatt hour,164461441.911664
130,PRT_1,wind_onshore,electricity,kilowatt hour,41024362240.18037
131,PRT_1,battery,electricity,kilogram,171208922.49727345
131,PRT_2,battery,electricity,kilogram,5236088029.2812605
131,PRT_1,biofuel_boiler,heat,megajoule,4375129.328919
131,PRT_2,biofuel_boiler,heat,megajoule,4590138.42848844
131,PRT_1,biofuel_supply,biofuel,kilogram,203993236.88900724
131,PRT_2,biofuel_supply,biofuel,kilogram,109352299.96298704
131,PRT_1,biofuel_to_diesel,diesel,kilogram,142073366.6966249
131,PRT_2,biofuel_to_diesel,diesel,kilogram,75885310.75270972
131,PRT_1,biofuel_to_methane,methane,cubic meter,22297.79133391232
131,PRT_2,biofuel_to_methane,methane,cubic meter,19665.94557343308
131,PRT_1,biofuel_to_methanol,methanol,kilogram,144023.3665601676
131,PRT_2,biofuel_to_methanol,methanol,kilogram,147375.4077547002
131,PRT_1,ccgt,electricity,kilowatt hour,1202006.6290715
131,PRT_2,ccgt,electricity,kilowatt hour,1164602.0752397
131,PRT_1,chp_biofuel_extraction,electricity,kilowatt hour,3516502.5941728
131,PRT_2,chp_biofuel_extraction,electricity,kilowatt hour,3435966.2174722
131,PRT_1,chp_hydrogen,electricity,kilowatt hour,6477598.8318577
131,PRT_2,chp_hydrogen,electricity,kilowatt hour,6744628.2401786
131,PRT_1,chp_methane_extraction,electricity,kilowatt hour,4285981.783573301
131,PRT_2,chp_methane_extraction,electricity,kilowatt hour,4345608.636410899
131,PRT_1,chp_wte_back_pressure,electricity,kilowatt hour,224228471.0773712
131,PRT_2,chp_wte_back_pressure,electricity,kilowatt hour,219500614.3976068
131,ESP,el_import,electricity,kilowatt hour,9751254102.03486
131,PRT_1,electrolysis,hydrogen,kg,716676375.3129735
131,PRT_2,electrolysis,hydrogen,kg,13734979751.772747
131,PRT_1,existing_pv,electricity,kilowatt hour,1718067708.557189
131,PRT_1,existing_wind,electricity,kilowatt hour,16060447903.101711
131,PRT_1,heat_storage_big,heat,unit,1196975.6932831865
131,PRT_2,heat_storage_big,heat,unit,971787.637721742
131,PRT_1,heat_storage_small,heat,unit,724139776.8160567
131,PRT_2,heat_storage_small,heat,unit,102527035.00399294
