,spores,techs,locs,carriers,unit,flow_out_sum
6,160,biofuel_to_diesel,PRT_1,diesel,twh,1.0755272725355898
7,160,biofuel_to_diesel,PRT_2,diesel,twh,1.0138843866956544
10,160,biofuel_to_methane,PRT_1,methane,twh,4.34949022638024
11,160,biofuel_to_methane,PRT_2,methane,twh,3.477516973043512
12,160,biofuel_to_methanol,PRT_1,methanol,twh,0.7610910196439691
13,160,biofuel_to_methanol,PRT_2,methanol,twh,6.14521706382485
14,160,ccgt,PRT_1,electricity,twh,6.276406288631796e-06
15,160,ccgt,PRT_2,electricity,twh,4.615739228894744e-06
16,160,chp_biofuel_extraction,PRT_1,electricity,twh,0.00010781200305068959
17,160,chp_biofuel_extraction,PRT_2,electricity,twh,9.654877975506332e-05
18,160,chp_hydrogen,PRT_1,electricity,twh,3.634803236122353e-05
19,160,chp_hydrogen,PRT_2,electricity,twh,3.814242135597601e-05
20,160,chp_methane_extraction,PRT_1,electricity,twh,5.070683604866701e-05
21,160,chp_methane_extraction,PRT_2,electricity,twh,4.856553719870816e-05
22,160,chp_wte_back_pressure,PRT_1,electricity,twh,0.22312369044267535
23,160,chp_wte_back_pressure,PRT_2,electricity,twh,0.21836867619438924
26,160,el_import,ESP,electricity,twh,6.454901091342769
31,160,electrolysis,PRT_1,hydrogen,twh,0.0004249123011661
32,160,electrolysis,PRT_2,hydrogen,twh,29.25417437673621
33,160,existing_pv,PRT_1,electricity,twh,1.7727828655213835
34,160,existing_wind,PRT_1,electricity,twh,16.282805728308464
38,160,heat_storage_big,PRT_1,heat,twh,0.0011875819965512
39,160,heat_storage_big,PRT_2,heat,twh,0.0015299174669376
40,160,heat_storage_small,PRT_1,heat,twh,0.0112447697386737
41,160,heat_storage_small,PRT_2,heat,twh,0.0098760248496664
48,160,hydro_reservoir,PRT_1,electricity,twh,2.157650528923156
49,160,hydro_reservoir,PRT_2,electricity,twh,0.3939733315436095
50,160,hydro_run_of_river,PRT_1,electricity,twh,2.5194142590206927
51,160,hydro_run_of_river,PRT_2,electricity,twh,0.3768426718740723
64,160,methane_boiler,PRT_1,heat,twh,3.585305344909107e-05
65,160,methane_boiler,PRT_2,heat,twh,2.0435635135357133e-05
66,160,methane_storage,PRT_1,methane,twh,5.645710483673141
67,160,methane_storage,PRT_2,methane,twh,5.746199677397698
68,160,open_field_pv,PRT_1,electricity,twh,97.80645647807768
69,160,pumped_hydro,PRT_1,electricity,twh,7.851591937645741
70,160,pumped_hydro,PRT_2,electricity,twh,1.3090197780398531
71,160,roof_mounted_pv,PRT_1,electricity,twh,0.00030089766613190794
72,160,waste_supply,PRT_1,waste,twh,1.0282009835367911
73,160,waste_supply,PRT_2,waste,twh,1.0062867051406086
74,160,wind_offshore,PRT_1,electricity,twh,0.00034842619331187843
75,160,wind_onshore,PRT_1,electricity,twh,56.16814064504285
0,161,battery,PRT_1,electricity,twh,0.000457437597363
1,161,battery,PRT_2,electricity,twh,0.0004742802994119
2,161,biofuel_boiler,PRT_1,heat,twh,8.97805997864458
3,161,biofuel_boiler,PRT_2,heat,twh,0.0003968695842512
4,161,biofuel_supply,PRT_1,biofuel,twh,20.40088239143286
5,161,biofuel_supply,PRT_2,biofuel,twh,16.112616712314168
6,161,biofuel_to_diesel,PRT_1,diesel,twh,1.0753255364009502
7,161,biofuel_to_diesel,PRT_2,diesel,twh,1.0137597163138947
10,161,biofuel_to_methane,PRT_1,methane,twh,4.349477736691927
11,161,biofuel_to_methane,PRT_2,methane,twh,3.47754617625389
12,161,biofuel_to_methanol,PRT_1,methanol,twh,0.7611126529790855
13,161,biofuel_to_methanol,PRT_2,methanol,twh,6.145183276553771
14,161,ccgt,PRT_1,electricity,twh,2.5619265070747974e-05
15,161,ccgt,PRT_2,electricity,twh,1.7710246905725217e-05
16,161,chp_biofuel_extraction,PRT_1,electricity,twh,0.000308983299798
17,161,chp_biofuel_extraction,PRT_2,electricity,twh,0.000276441009864426
18,161,chp_hydrogen,PRT_1,electricity,twh,0.0001186355142113936
19,161,chp_hydrogen,PRT_2,electricity,twh,0.00012936349744019647
20,161,chp_methane_extraction,PRT_1,electricity,twh,0.00013091894276505132
21,161,chp_methane_extraction,PRT_2,electricity,twh,0.00011916237953627759
22,161,chp_wte_back_pressure,PRT_1,electricity,twh,0.22313840940742952
23,161,chp_wte_back_pressure,PRT_2,electricity,twh,0.21838398898807987
26,161,el_import,ESP,electricity,twh,6.989652461602828
31,161,electrolysis,PRT_1,hydrogen,twh,0.001850242295095
32,161,electrolysis,PRT_2,hydrogen,twh,29.252726752407696
33,161,existing_pv,PRT_1,electricity,twh,1.7720333966818147
34,161,existing_wind,PRT_1,electricity,twh,16.23539915482093
38,161,heat_storage_big,PRT_1,heat,twh,0.0038327837500596
39,161,heat_storage_big,PRT_2,heat,twh,0.0056889365865433
40,161,heat_storage_small,PRT_1,heat,twh,0.0340778538348773
41,161,heat_storage_small,PRT_2,heat,twh,0.0360700910404355
48,161,hydro_reservoir,PRT_1,electricity,twh,2.157950367477818
49,161,hydro_reservoir,PRT_2,electricity,twh,0.3939995586243674
50,161,hydro_run_of_river,PRT_1,electricity,twh,2.462811615890865
51,161,hydro_run_of_river,PRT_2,electricity,twh,0.3661426171684679
64,161,methane_boiler,PRT_1,heat,twh,0.000147803936869
65,161,methane_boiler,PRT_2,heat,twh,7.391075093981576e-05
66,161,methane_storage,PRT_1,methane,twh,5.713329646923167
67,161,methane_storage,PRT_2,methane,twh,5.724517239908845
68,161,open_field_pv,PRT_1,electricity,twh,53.61296927472849
69,161,pumped_hydro,PRT_1,electricity,twh,7.508657379124608
70,161,pumped_hydro,PRT_2,electricity,twh,1.2349784380061024
71,161,roof_mounted_pv,PRT_1,electricity,twh,43.373633835472866
72,161,waste_supply,PRT_1,waste,twh,1.0282297506040268
73,161,waste_supply,PRT_2,waste,twh,1.0063154722302567
74,161,wind_offshore,PRT_1,electricity,twh,0.0010133075510614974
75,161,wind_onshore,PRT_1,electricity,twh,54.96948831666481
0,162,battery,PRT_1,electricity,twh,0.0004028370135337
1,162,battery,PRT_2,electricity,twh,0.0004163674443822
2,162,biofuel_boiler,PRT_1,heat,twh,8.978275592397175
3,162,biofuel_boiler,PRT_2,heat,twh,0.0003356098748397
4,162,biofuel_supply,PRT_1,biofuel,twh,20.400960258196918
5,162,biofuel_supply,PRT_2,biofuel,twh,16.112533509688546
6,162,biofuel_to_diesel,PRT_1,diesel,twh,1.0753825635548564
7,162,biofuel_to_diesel,PRT_2,diesel,twh,1.0137927713923165
10,162,biofuel_to_methane,PRT_1,methane,twh,4.349475533169832
11,162,biofuel_to_methane,PRT_2,methane,twh,3.4775339080938923
12,162,biofuel_to_methanol,PRT_1,methanol,twh,0.7611094872992845
13,162,biofuel_to_methanol,PRT_2,methanol,twh,6.145187540682459
