spores,techs,locs,carriers,unit,flow_out_sum
112,wind_offshore,PRT-15_1,electricity,twh,1.039653003120778e-05
112,wind_offshore,PRT-16_1,electricity,twh,1.0220832354087307e-05
112,wind_offshore,PRT-17_1,electricity,twh,1.0165677562717408e-05
112,wind_offshore,PRT-18_1,electricity,twh,1.0275541734420065e-05
112,wind_offshore,PRT-1_1,electricity,twh,3.6508246732904005e-06
112,wind_offshore,PRT-20_1,electricity,twh,1.0310161859067051e-05
112,wind_offshore,PRT-3_1,electricity,twh,1.0151577959676325e-05
112,wind_offshore,PRT-4_1,electricity,twh,1.0298460570311787e-05
112,wind_offshore,PRT-7_1,electricity,twh,1.029016256641177e-05
112,wind_offshore,PRT-9_1,electricity,twh,1.006572273019669e-05
112,wind_onshore,PRT-10_1,electricity,twh,4.077339808066959
112,wind_onshore,PRT-11_1,electricity,twh,0.000322256753596568
112,wind_onshore,PRT-12_1,electricity,twh,0.00015051549837392345
112,wind_onshore,PRT-14_1,electricity,twh,0.01313037423007278
112,wind_onshore,PRT-15_1,electricity,twh,0.024102355424118295
112,wind_onshore,PRT-16_1,electricity,twh,0.04893477127737547
112,wind_onshore,PRT-17_1,electricity,twh,0.0017811807128191486
112,wind_onshore,PRT-18_1,electricity,twh,0.04202347660565135
112,wind_onshore,PRT-19_1,electricity,twh,0.6829473973845328
112,wind_onshore,PRT-1_1,electricity,twh,1.966527452804021e-05
112,wind_onshore,PRT-20_1,electricity,twh,0.5257861139661941
112,wind_onshore,PRT-3_1,electricity,twh,0.0009908639145207797
112,wind_onshore,PRT-4_1,electricity,twh,0.04222659879139583
112,wind_onshore,PRT-5_1,electricity,twh,0.9543474248177758
112,wind_onshore,PRT-6_1,electricity,twh,14.547413776589888
112,wind_onshore,PRT-7_1,electricity,twh,0.7220470627759069
112,wind_onshore,PRT-8_1,electricity,twh,0.0006049336792386902
112,wind_onshore,PRT-9_1,electricity,twh,40.22084347278217
113,battery,PRT_1,electricity,twh,0.3179392088695101
113,battery,PRT_2,electricity,twh,1.0706024140270376
113,biofuel_boiler,PRT_1,biofuel,twh,
113,biofuel_boiler,PRT_1,heat,twh,0.05225761614663227
113,biofuel_boiler,PRT_2,biofuel,twh,
113,biofuel_boiler,PRT_2,heat,twh,0.04345891242431471
113,biofuel_supply,PRT_1,biofuel,twh,2.453401387198519
113,biofuel_supply,PRT_2,biofuel,twh,1.9773714609250863
113,biofuel_to_diesel,PRT_1,biofuel,twh,
113,biofuel_to_diesel,PRT_1,diesel,twh,1.0899076360463553
113,biofuel_to_diesel,PRT_2,biofuel,twh,
113,biofuel_to_diesel,PRT_2,diesel,twh,1.0241022012119718
113,biofuel_to_liquids,PRT_1,biofuel,twh,
113,biofuel_to_liquids,PRT_1,diesel,twh,0.00521821370865483
113,biofuel_to_liquids,PRT_1,electricity,twh,0.0005231291938501083
113,biofuel_to_liquids,PRT_1,kerosene,twh,0.002576411279711783
113,biofuel_to_liquids,PRT_2,biofuel,twh,
113,biofuel_to_liquids,PRT_2,diesel,twh,0.003500739935927384
113,biofuel_to_liquids,PRT_2,electricity,twh,0.0003509513720227954
113,biofuel_to_liquids,PRT_2,kerosene,twh,0.0017284355072122671
113,biofuel_to_methane,PRT_1,biofuel,twh,
113,biofuel_to_methane,PRT_1,methane,twh,0.13553253202270804
113,biofuel_to_methane,PRT_2,biofuel,twh,
113,biofuel_to_methane,PRT_2,methane,twh,0.020968794664858372
113,biofuel_to_methanol,PRT_1,biofuel,twh,
113,biofuel_to_methanol,PRT_1,methanol,twh,0.18629960056544442
113,biofuel_to_methanol,PRT_2,biofuel,twh,
113,biofuel_to_methanol,PRT_2,methanol,twh,0.07558573954001443
113,ccgt,PRT_1,electricity,twh,0.006423636242331379
113,ccgt,PRT_1,methane,twh,
113,ccgt,PRT_2,electricity,twh,0.006532591120208286
113,ccgt,PRT_2,methane,twh,
113,chp_biofuel_extraction,PRT_1,biofuel,twh,
113,chp_biofuel_extraction,PRT_1,electricity,twh,0.026722778111297814
113,chp_biofuel_extraction,PRT_1,heat,twh,0.045851669322361274
113,chp_biofuel_extraction,PRT_2,biofuel,twh,
113,chp_biofuel_extraction,PRT_2,electricity,twh,0.021493051030980592
113,chp_biofuel_extraction,PRT_2,heat,twh,0.037798933978217014
113,chp_hydrogen,PRT_1,electricity,twh,0.05207311577778635
113,chp_hydrogen,PRT_1,heat,twh,0.035013935521581815
113,chp_hydrogen,PRT_1,hydrogen,twh,
113,chp_hydrogen,PRT_2,electricity,twh,0.05447609147894801
113,chp_hydrogen,PRT_2,heat,twh,0.0370373038384509
113,chp_hydrogen,PRT_2,hydrogen,twh,
113,chp_methane_extraction,PRT_1,electricity,twh,0.03252719071918227
113,chp_methane_extraction,PRT_1,heat,twh,0.011634704095201977
113,chp_methane_extraction,PRT_1,methane,twh,
113,chp_methane_extraction,PRT_2,electricity,twh,0.035592934923325686
113,chp_methane_extraction,PRT_2,heat,twh,0.012943659575212374
113,chp_methane_extraction,PRT_2,methane,twh,
113,chp_wte_back_pressure,PRT_1,electricity,twh,0.22311934193693808
113,chp_wte_back_pressure,PRT_1,heat,twh,0.010769921647913665
113,chp_wte_back_pressure,PRT_1,waste,twh,
113,chp_wte_back_pressure,PRT_2,electricity,twh,0.21836394353020316
113,chp_wte_back_pressure,PRT_2,heat,twh,0.011219355843369689
113,chp_wte_back_pressure,PRT_2,waste,twh,
113,dac,PRT_1,co2,100kt,35.07801964598181
113,dac,PRT_1,electricity,twh,
113,dac,PRT_2,co2,100kt,57.32193558982927
113,dac,PRT_2,electricity,twh,
113,demand_cooking,PRT_1,cooking,twh,
113,demand_cooking,PRT_2,cooking,twh,
113,demand_elec,PRT_1,electricity,twh,
113,demand_elec,PRT_2,electricity,twh,
113,demand_heat,PRT_1,heat,twh,
113,demand_heat,PRT_2,heat,twh,
113,demand_heavy_transport,PRT_1,transport,billion_km,
113,demand_heavy_transport,PRT_2,transport,billion_km,
113,demand_industry_diesel,PRT_1,diesel,twh,
113,demand_industry_diesel,PRT_2,diesel,twh,
113,demand_industry_kerosene,PRT_1,kerosene,twh,
113,demand_industry_kerosene,PRT_2,kerosene,twh,
113,demand_industry_methane,PRT_1,methane,twh,
113,demand_industry_methane,PRT_2,methane,twh,
